dataset,n,Quant 0.1 GB,Quant 1.0 GB,Hydra
MosquitoSound,1024,0.278836,0.278836,0.273556
MosquitoSound,2048,0.252527,0.252527,0.215359
MosquitoSound,4096,0.230833,0.230833,0.178899
MosquitoSound,8192,0.217737,0.213907,0.16473
MosquitoSound,16384,0.215144,0.198919,0.147296
MosquitoSound,32768,0.214107,0.185992,0.137656
MosquitoSound,65536,0.212984,0.17446,0.130452
MosquitoSound,131072,0.212097,0.173544,0.133357
MosquitoSound,223652,0.212215,0.173258,0.130409
Pedestrian,1024,0.488005,0.488005,0.727103
Pedestrian,2048,0.425122,0.425122,0.544075
Pedestrian,4096,0.369917,0.369917,0.493126
Pedestrian,8192,0.325512,0.325512,0.458815
Pedestrian,16384,0.288454,0.288454,0.42605
Pedestrian,32768,0.258843,0.258843,0.404296
Pedestrian,65536,0.233714,0.233714,0.39233
Pedestrian,131072,0.214918,0.214918,0.386307
Pedestrian,151696,0.211532,0.211532,0.38366
S2Agri,1024,0.095242,0.095242,0.174489
S2Agri,2048,0.090614,0.090614,0.121237
S2Agri,4096,0.084418,0.084418,0.109868
S2Agri,8192,0.080298,0.080298,0.095372
S2Agri,16384,0.076251,0.076251,0.086316
S2Agri,32768,0.072791,0.072791,0.083812
S2Agri,65536,0.069835,0.069835,0.083018
S2Agri,131072,0.068355,0.067464,0.082187
S2Agri,262144,0.068149,0.064952,0.081447
S2Agri,524288,0.067883,0.062903,0.081355
S2Agri,1048576,0.067972,0.060794,0.081339
S2Agri,2097152,0.068079,0.060851,0.081816
S2Agri,4194304,0.067976,0.060805,0.08157
S2Agri,8388608,0.068044,0.060799,0.081627
S2Agri,16777216,0.068008,0.060776,0.082579
S2Agri,33554432,0.067853,0.060828,0.084293
S2Agri,47415058,0.067911,0.060773,0.084026
Traffic,1024,0.577057,0.577057,0.678578
Traffic,2048,0.544312,0.544312,0.525334
Traffic,4096,0.512022,0.512022,0.512177
Traffic,8192,0.480106,0.480106,0.498265
Traffic,16384,0.447287,0.447287,0.486488
Traffic,32768,0.415878,0.415878,0.476346
Traffic,65536,0.383025,0.383025,0.464198
Traffic,131072,0.352385,0.352385,0.457452
Traffic,262144,0.321477,0.321477,0.453685
Traffic,524288,0.289319,0.289319,0.452266
Traffic,1048576,0.254062,0.253847,0.450346
Traffic,1168774,0.250247,0.24809,0.451187
WhaleSounds,1024,0.442256,0.442256,0.601086
WhaleSounds,2048,0.40055,0.40055,0.478761
WhaleSounds,4096,0.371347,0.371347,0.460808
WhaleSounds,8192,0.348212,0.348212,0.446126
WhaleSounds,16384,0.338047,0.327691,0.436931
WhaleSounds,32768,0.335736,0.311393,0.423219
WhaleSounds,65536,0.333986,0.295589,0.414357
WhaleSounds,84130,0.334015,0.292774,0.410553
